strategy,threshold,margin,alpha,beta,gamma,source_accuracy,top1_accuracy,mrr,fpr_local,fnr_local,precision_local,recall_local,f1_local,kb_utilization,local_rate,openai_rate,openai_calls,false_compliance,total_cost,tp_local,fp_local,fn_local,tn_local,objective_source_accuracy,objective_f1_local,objective_cost
cosine_threshold,0.93,0.00,0.70,0.20,0.10,0.4651,0.8478,0.8986,0.0000,0.9783,1.0000,0.0217,0.0426,0.0217,0.0116,0.7209,62,2,114.6000,1,0,45,40,0.4651,0.0426,114.6000
cosine_threshold,0.94,0.00,0.70,0.20,0.10,0.4651,0.8478,0.8986,0.0000,0.9783,1.0000,0.0217,0.0426,0.0217,0.0116,0.7209,62,2,114.6000,1,0,45,40,0.4651,0.0426,114.6000
cosine_threshold,0.95,0.00,0.70,0.20,0.10,0.4651,0.8478,0.8986,0.0000,0.9783,1.0000,0.0217,0.0426,0.0217,0.0116,0.7209,62,2,114.6000,1,0,45,40,0.4651,0.0426,114.6000
cosine_margin,0.50,0.00,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3750,0.0870,0.7368,0.9130,0.8155,0.9130,0.6628,0.0698,6,2,135.8000,42,15,4,25,0.7674,0.8155,135.8000
cosine_margin,0.50,0.01,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3500,0.1087,0.7455,0.8913,0.8119,0.8913,0.6395,0.0930,8,2,130.4000,41,14,5,26,0.7674,0.8119,130.4000
cosine_margin,0.50,0.02,0.70,0.20,0.10,0.7558,0.8478,0.8986,0.3500,0.1304,0.7407,0.8696,0.8000,0.8696,0.6279,0.1047,9,2,132.7000,40,14,6,26,0.7558,0.8000,132.7000
cosine_margin,0.50,0.03,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.3500,0.1739,0.7308,0.8261,0.7755,0.8261,0.6047,0.1279,11,2,137.3000,38,14,8,26,0.7326,0.7755,137.3000
cosine_margin,0.50,0.04,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.3500,0.1739,0.7308,0.8261,0.7755,0.8261,0.6047,0.1279,11,2,137.3000,38,14,8,26,0.7326,0.7755,137.3000
cosine_margin,0.50,0.05,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3250,0.1739,0.7451,0.8261,0.7835,0.8261,0.5930,0.1395,12,2,129.6000,38,13,8,27,0.7442,0.7835,129.6000
cosine_margin,0.50,0.06,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3250,0.1739,0.7451,0.8261,0.7835,0.8261,0.5930,0.1395,12,2,129.6000,38,13,8,27,0.7442,0.7835,129.6000
